id1	id2	name1	name2	addr1	addr2	country1	country2	postal1	postal2	label
S1_0081	S2_0081	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0082	S2_0082	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0083	S2_0083	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0084	S2_0084	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0085	S2_0085	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0086	S2_0086	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0087	S2_0087	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0088	S2_0088	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0089	S2_0089	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0090	S2_0090	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0091	S2_0091	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0092	S2_0092	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0093	S2_0093	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0094	S2_0094	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0095	S2_0095	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0096	S2_0096	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0097	S2_0097	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0098	S2_0098	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0099	S2_0099	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0100	S2_0100	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0101	S2_0101	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0102	S2_0102	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0103	S2_0103	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0104	S2_0104	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0105	S2_0105	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0106	S2_0106	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0107	S2_0107	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0108	S2_0108	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0109	S2_0109	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0110	S2_0110	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0111	S2_0111	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0112	S2_0112	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0113	S2_0113	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0114	S2_0114	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0115	S2_0115	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0116	S2_0116	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0117	S2_0117	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0118	S2_0118	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0119	S2_0119	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0120	S2_0120	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0121	S2_0121	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0122	S2_0122	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0123	S2_0123	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0124	S2_0124	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0125	S2_0125	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0126	S2_0126	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0127	S2_0127	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0128	S2_0128	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0129	S2_0129	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0130	S2_0130	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0131	S2_0131	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0132	S2_0132	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0133	S2_0133	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0134	S2_0134	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0135	S2_0135	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0136	S2_0136	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0137	S2_0137	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0138	S2_0138	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0139	S2_0139	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0140	S2_0140	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0141	S2_0141	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0142	S2_0142	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0143	S2_0143	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0144	S2_0144	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0145	S2_0145	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0146	S2_0146	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0147	S2_0147	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0148	S2_0148	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0149	S2_0149	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0150	S2_0150	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0151	S2_0151	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0152	S2_0152	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0153	S2_0153	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0154	S2_0154	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0155	S2_0155	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0156	S2_0156	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0157	S2_0157	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0158	S2_0158	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0159	S2_0159	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0160	S2_0160	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0161	S2_0161	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0162	S2_0162	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0163	S2_0163	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0164	S2_0164	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0165	S2_0165	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0166	S2_0166	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0167	S2_0167	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0168	S2_0168	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0169	S2_0169	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0170	S2_0170	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0171	S2_0171	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0172	S2_0172	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0173	S2_0173	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0174	S2_0174	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0175	S2_0175	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0176	S2_0176	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0177	S2_0177	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0178	S2_0178	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0179	S2_0179	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0180	S2_0180	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0181	S2_0181	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0182	S2_0182	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0183	S2_0183	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0184	S2_0184	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0185	S2_0185	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0186	S2_0186	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0187	S2_0187	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0188	S2_0188	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0189	S2_0189	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0190	S2_0190	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0191	S2_0191	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0192	S2_0192	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0193	S2_0193	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0194	S2_0194	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0195	S2_0195	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0196	S2_0196	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0197	S2_0197	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0198	S2_0198	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0199	S2_0199	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
